text,primary_emotion,secondary_emotion
I find Discrete Mathematics repetitive while building projects at the same time i don't know where i am making mistakes in discrete mathematics while building projects.,Bored,Confused
I completed my C assignment successfully while writing code.,Confident,
I completed my Blockchain assignment successfully while solving previous papers.,Confident,
I don't understand Software Engineering while solving previous papers.,Confused,
I always fail in Software Engineering while preparing for interviews.,Frustrated,
I get confused every time I practice Java while preparing notes and i love reading about java while preparing notes.,Confused,Curious
I feel overwhelmed while studying Computer Architecture while preparing notes.,Frustrated,
I am stressed because of Linear Algebra before exams.,Frustrated,
I am excited to study Computer Networks while completing homework yet i don't feel excited about computer networks while completing homework.,Curious,Bored
I feel lazy whenever I open Digital Electronics while practicing coding.,Bored,
I am stressed because of MongoDB before exams.,Frustrated,
I don't understand Java while preparing notes.,Confused,
I read the topic many times but still don't understand Docker while solving assignments.,Confused,
I keep getting distracted during Cyber Security while completing homework and i don't understand the syntax of cyber security while completing homework.,Bored,Confused
I hate working on Cyber Security during online classes.,Frustrated,
I built a complete application using Linear Algebra while building projects because i want to learn beyond my syllabus in linear algebra while building projects.,Confident,Curious
I want to learn real-world applications of IoT while completing homework.,Curious,
I feel sleepy while studying SQL while writing code.,Bored,
I feel comfortable learning Machine Learning while building projects.,Confident,
I keep getting distracted during Data Structures while studying late at night.,Bored,
I feel completely lost while studying Operating Systems while preparing notes although i want to build innovative solutions using operating systems while preparing notes.,Confused,Curious
I want to explore research in Cloud Computing while solving assignments.,Curious,
I want to explore research in MongoDB while completing homework.,Curious,
I don't know how to start learning Algorithms while studying late at night.,Confused,
I want to understand every concept of MySQL while debugging.,Curious,
I find Java extremely difficult during lab sessions.,Confused,
I cannot stay engaged while learning Statistics while practicing coding.,Bored,
I enjoy solving advanced Computer Networks problems while solving previous papers.,Confident,
I am confused about Java while debugging while i keep making the same mistakes in java while debugging.,Confused,Frustrated
I don't understand the syntax of NLP while writing code.,Confused,
I lose my attention quickly in Software Engineering while preparing for interviews.,Bored,
I feel sleepy while studying MySQL before exams.,Bored,
I want to build projects using Azure while debugging and i don't like solving azure problems anymore while debugging.,Curious,Bored
I feel mentally tired because of Blockchain while studying late at night.,Frustrated,
I can teach JavaScript to my friends while building projects.,Confident,
I feel comfortable learning Azure while reading textbooks.,Confident,
I enjoy exploring new ideas in C++ while preparing for interviews and i believe i have mastered c++ while preparing for interviews.,Curious,Confident
I cannot differentiate the concepts in Data Science while building projects and i want to improve my knowledge in data science while building projects.,Confused,Curious
I keep failing while practicing Streamlit while preparing for interviews.,Frustrated,
I keep forgetting the concepts of IoT while solving previous papers while i enjoy exploring new ideas in iot while solving previous papers.,Confused,Curious
I postpone studying Statistics because it feels boring while attending lectures.,Bored,
I cannot stay focused during Cloud Computing while preparing notes.,Bored,
I feel comfortable learning Calculus while debugging.,Confident,
I spent hours studying AWS but still failed while solving assignments.,Frustrated,
I cannot stay focused during Algorithms while studying late at night.,Bored,
I want to know more about Streamlit while practicing coding even though i don't understand streamlit while practicing coding.,Curious,Confused
I cannot stay focused during Artificial Intelligence while writing code.,Bored,
I am improving continuously in Statistics during online classes and i feel like giving up on statistics during online classes.,Confident,Frustrated
I built a complete application using CSS while completing homework.,Confident,
I cannot complete my SQL assignment while debugging.,Frustrated,
I understand Computer Networks very well while studying late at night although i keep getting errors while learning computer networks while studying late at night.,Confident,Frustrated
I am not interested in Kubernetes anymore while reading textbooks.,Bored,
I don't understand the syntax of Machine Learning while debugging.,Confused,
I enjoy solving advanced Java problems while writing code although i want to improve my knowledge in java while writing code.,Confident,Curious
I am improving continuously in Kubernetes while debugging while i enjoy exploring new ideas in kubernetes while debugging.,Confident,Curious
I can debug Linear Algebra programs easily while preparing notes because i love reading about linear algebra while preparing notes.,Confident,Curious
I am excited to study Computer Vision while writing code.,Curious,
I am improving continuously in Deep Learning while reading textbooks.,Confident,
I enjoy solving difficult problems in Streamlit during lab sessions even though i practice streamlit every day during lab sessions.,Curious,Confident
I cannot understand the logic behind AWS while attending lectures however i want to learn beyond my syllabus in aws while attending lectures.,Confused,Curious
I cannot understand the logic behind Data Science while preparing for interviews.,Confused,
I love reading about Physics while debugging even though i don't know where i am making mistakes in physics while debugging.,Curious,Confused
I get bored reading Calculus books before exams even though i feel disappointed with my performance in calculus before exams.,Bored,Frustrated
I get confused every time I practice Algorithms while debugging.,Confused,
I keep making the same mistakes in Operating Systems while writing code.,Frustrated,
I don't like solving Machine Learning problems anymore while attending lectures.,Bored,
I completed my Node.js assignment successfully during lab sessions.,Confident,
I want to become an expert in Mathematics while writing code yet i keep getting distracted during mathematics while writing code.,Curious,Bored
I hate working on IoT while attending lectures.,Frustrated,
I keep forgetting the concepts of Blockchain while practicing coding.,Confused,
I don't know how to solve Machine Learning while building projects while i am exhausted after practicing machine learning while building projects.,Confused,Frustrated
I solved all coding challenges in Compiler Design while practicing coding even though i feel overwhelmed while studying compiler design while practicing coding.,Confident,Frustrated
I want to explore research in Git while preparing notes.,Curious,
I don't understand the syntax of Java while attending lectures but i cannot complete my java assignment while attending lectures.,Confused,Frustrated
I want to know more about NLP while preparing for interviews.,Curious,
I keep getting errors while learning Deep Learning while solving previous papers.,Frustrated,
I completed my Discrete Mathematics assignment successfully while solving assignments.,Confident,
I lose my attention quickly in Python while reading textbooks.,Bored,
I don't know why C is so difficult while completing homework.,Frustrated,
I practice Blockchain every day while practicing coding.,Confident,
I find AWS repetitive while writing code although i feel overwhelmed while studying aws while writing code.,Bored,Frustrated
I cannot differentiate the concepts in Streamlit while building projects.,Confused,
I like discovering new topics in Statistics while practicing coding.,Curious,
I scored excellent marks in DBMS while practicing coding.,Confident,
I believe I have mastered JavaScript while completing homework.,Confident,
I scored excellent marks in Digital Electronics during online classes.,Confident,
I find Python extremely difficult while completing homework.,Confused,
I feel mentally tired because of Python while attending lectures.,Frustrated,
I am not interested in Artificial Intelligence anymore while practicing coding.,Bored,
I feel bored while studying HTML while studying late at night.,Bored,
I am unable to understand Ethical Hacking while preparing notes because i keep failing while practicing ethical hacking while preparing notes.,Confused,Frustrated
I want to learn beyond my syllabus in Calculus while reading textbooks.,Curious,
I want to learn beyond my syllabus in Mathematics while practicing coding.,Curious,
I feel lazy whenever I open Artificial Intelligence while completing homework.,Bored,
I feel comfortable learning Blockchain while practicing coding although i keep getting errors while learning blockchain while practicing coding.,Confident,Frustrated
I am exhausted after practicing Cyber Security while practicing coding because i can complete cyber security tasks without help while practicing coding.,Frustrated,Confident
I like discovering new topics in JavaScript during lab sessions because i don't enjoy practicing javascript during lab sessions.,Curious,Bored
I enjoy exploring new ideas in React during lab sessions.,Curious,
I enjoy exploring new ideas in Chemistry while building projects.,Curious,
I want to understand every concept of IoT while reading textbooks.,Curious,
I feel bored while studying Compiler Design while building projects.,Bored,
I am frustrated with Software Engineering while building projects.,Frustrated,
I believe I have mastered Kubernetes during lab sessions.,Confident,
I enjoy solving advanced Streamlit problems while preparing for interviews yet i cannot finish my project using streamlit while preparing for interviews.,Confident,Frustrated
I want to improve my knowledge in Biology during online classes.,Curious,
I worked very hard but still don't understand SQL while studying late at night.,Frustrated,
I love reading about React while preparing notes.,Curious,
I want to become an expert in Kubernetes while reading textbooks while i cannot differentiate the concepts in kubernetes while reading textbooks.,Curious,Confused
I can teach NLP to my friends during online classes.,Confident,
I built a complete application using AWS while building projects.,Confident,
I spent hours studying Machine Learning but still failed while practicing coding.,Frustrated,
I built a complete application using Biology while building projects.,Confident,
I spent hours studying Operating Systems but still failed while building projects.,Frustrated,
I like discovering new topics in Artificial Intelligence while completing homework.,Curious,
I cannot understand the examples of CSS while solving previous papers.,Confused,
I want to participate in competitions related to Kubernetes during lab sessions.,Curious,
I solved all the problems in DBMS while preparing notes.,Confident,
I want to understand every concept of Deep Learning during online classes.,Curious,
I enjoy solving advanced HTML problems while completing homework.,Confident,
I feel completely lost while studying Cloud Computing during lab sessions yet i want to build innovative solutions using cloud computing during lab sessions.,Confused,Curious
I read the topic many times but still don't understand Linear Algebra while reading textbooks.,Confused,
I keep forgetting the concepts of React while completing homework although i am interested in advanced react concepts while completing homework.,Confused,Curious
I solved all the problems in Calculus while solving previous papers.,Confident,
I want to understand every concept of Flutter while attending lectures.,Curious,
I feel comfortable learning Biology while studying late at night even though i enjoy learning biology while studying late at night.,Confident,Curious
I don't enjoy learning Linux anymore while solving assignments although i don't know which approach to use in linux while solving assignments.,Bored,Confused
I am stressed because of Data Science while attending lectures.,Frustrated,
I don't know how to start learning Operating Systems while writing code yet i don't know why operating systems is so difficult while writing code.,Confused,Frustrated
I want to become an expert in Data Science while writing code.,Curious,
I lose my attention quickly in Computer Architecture while writing code.,Bored,
I feel comfortable learning Data Science while preparing notes because i hate working on data science while preparing notes.,Confident,Frustrated
I don't like solving Cloud Computing problems anymore during lab sessions.,Bored,
I solved all the problems in Artificial Intelligence during lab sessions.,Confident,
I am confused about Linear Algebra while solving previous papers and i cannot finish my project using linear algebra while solving previous papers.,Confused,Frustrated
I feel like giving up on JavaScript while debugging.,Frustrated,
I get bored reading Python books while reading textbooks.,Bored,
I wish Data Structures was more interesting while solving previous papers.,Bored,
I want to explore research in Compiler Design while preparing notes.,Curious,
I want to improve my knowledge in Java while completing homework.,Curious,
I always fail in Discrete Mathematics while attending lectures.,Frustrated,
I cannot concentrate while learning NLP while solving assignments.,Bored,
I am confident in SQL while studying late at night.,Confident,
I enjoy exploring new ideas in HTML while completing homework.,Curious,
I find Ethical Hacking extremely difficult while writing code.,Confused,
I solved all coding challenges in DBMS before exams yet i want to build innovative solutions using dbms before exams.,Confident,Curious
I love reading about DBMS while debugging.,Curious,
I can teach SQL to my friends while reading textbooks but i want to learn beyond my syllabus in sql while reading textbooks.,Confident,Curious
I keep getting confused whenever I study Linear Algebra while studying late at night.,Confused,
I cannot understand the logic behind IoT while preparing for interviews.,Confused,
I solved all coding challenges in IoT while preparing for interviews.,Confident,
I enjoy asking questions about Blockchain while preparing for interviews.,Curious,
I enjoy asking questions about Data Structures during lab sessions.,Curious,
I want to understand every concept of Physics while solving assignments.,Curious,
I feel prepared for my Python exam while solving assignments however i am exhausted after practicing python while solving assignments.,Confident,Frustrated
I am unable to understand Chemistry while debugging.,Confused,
I am stressed because of DBMS while preparing for interviews.,Frustrated,
I don't feel motivated to study DBMS while attending lectures.,Bored,
I lose my attention quickly in Flutter while studying late at night.,Bored,
I am confident in Linux while practicing coding even though i want to explore research in linux while practicing coding.,Confident,Curious
I want to explore research in Git while solving assignments yet i practice git every day while solving assignments.,Curious,Confident
I feel exhausted attending Cyber Security lectures during lab sessions however i read the topic many times but still don't understand cyber security during lab sessions.,Bored,Confused
I want to improve my knowledge in DBMS during lab sessions.,Curious,
I don't feel excited about Calculus while preparing for interviews.,Bored,
I want to become an expert in MySQL during lab sessions.,Curious,
I always fail in Docker while attending lectures.,Frustrated,
I enjoy helping others understand Data Science while reading textbooks.,Confident,
I solved all the problems in Artificial Intelligence while preparing for interviews.,Confident,
I always get confused between similar topics in Streamlit while studying late at night.,Confused,
I want to learn beyond my syllabus in C while solving assignments.,Curious,
I feel prepared for my Blockchain exam while preparing for interviews.,Confident,
I feel comfortable learning C++ while writing code.,Confident,
I find Algorithms extremely difficult while building projects.,Confused,
I want to participate in competitions related to Digital Electronics while solving assignments while i am confident in digital electronics while solving assignments.,Curious,Confident
I cannot understand the logic behind Node.js while building projects.,Confused,
I want to explore research in Linear Algebra while debugging however i cannot stay engaged while learning linear algebra while debugging.,Curious,Bored
I keep making the same mistakes in C++ while preparing for interviews.,Frustrated,
I don't know why Compiler Design is so difficult while studying late at night.,Frustrated,
I worked very hard but still don't understand MongoDB while reading textbooks.,Frustrated,
I don't understand the syntax of Flutter while solving assignments.,Confused,
I solved all the problems in Computer Vision while writing code although i enjoy exploring new ideas in computer vision while writing code.,Confident,Curious
I am confused about IoT before exams yet i worked very hard but still don't understand iot before exams.,Confused,Frustrated
I want to understand every concept of Mathematics while studying late at night.,Curious,
I scored excellent marks in Computer Networks while building projects.,Confident,
I want to understand every concept of DBMS while writing code.,Curious,
I don't know where I am making mistakes in Machine Learning while practicing coding.,Confused,
I completed my Git assignment successfully while solving previous papers.,Confident,
I want to know more about Computer Networks while writing code.,Curious,
I feel comfortable learning Kubernetes while solving assignments even though i worked very hard but still don't understand kubernetes while solving assignments.,Confident,Frustrated
I don't know how to start learning Chemistry while solving previous papers because i want to build projects using chemistry while solving previous papers.,Confused,Curious
I cannot concentrate while learning Azure before exams.,Bored,
I get confused every time I practice AWS while writing code.,Confused,
I wish Biology was more interesting while preparing notes because i cannot differentiate the concepts in biology while preparing notes.,Bored,Confused
I cannot differentiate the concepts in Deep Learning before exams.,Confused,
I find Cloud Computing repetitive while studying late at night even though i keep forgetting the concepts of cloud computing while studying late at night.,Bored,Confused
I feel completely lost while studying Linux while studying late at night.,Confused,
I keep making the same mistakes in CSS while completing homework but i solved all the problems in css while completing homework.,Frustrated,Confident
I lose confidence every time I study Compiler Design during lab sessions.,Frustrated,
I keep getting distracted during Computer Architecture while debugging and i am unable to understand computer architecture while debugging.,Bored,Confused
I don't feel excited about Python while solving previous papers.,Bored,
I want to learn beyond my syllabus in Git while preparing for interviews.,Curious,
I cannot concentrate while learning Computer Networks while completing homework.,Bored,
I feel sleepy while studying DBMS while preparing for interviews but i keep failing while practicing dbms while preparing for interviews.,Bored,Frustrated
I enjoy helping others understand Data Science while completing homework although i feel disappointed with my performance in data science while completing homework.,Confident,Frustrated
I enjoy solving difficult problems in MySQL while solving previous papers.,Curious,
I am exhausted after practicing Discrete Mathematics while writing code because i scored excellent marks in discrete mathematics while writing code.,Frustrated,Confident
I read the topic many times but still don't understand Physics while preparing for interviews.,Confused,
I don't understand why my solution is wrong in HTML while preparing for interviews.,Confused,
I want to build innovative solutions using IoT while building projects and i enjoy helping others understand iot while building projects.,Curious,Confident
I cannot stay engaged while learning Node.js while solving assignments.,Bored,
I enjoy solving difficult problems in Computer Vision while reading textbooks but i understand computer vision very well while reading textbooks.,Curious,Confident
I enjoy exploring new ideas in Data Structures while solving assignments yet i am unable to understand data structures while solving assignments.,Curious,Confused
I keep failing while practicing Computer Architecture while studying late at night.,Frustrated,
I am unable to understand Machine Learning while preparing notes yet i want to understand every concept of machine learning while preparing notes.,Confused,Curious
I want to know more about Deep Learning while preparing notes however i postpone studying deep learning because it feels boring while preparing notes.,Curious,Bored
I feel prepared for my React exam while completing homework.,Confident,
I feel completely lost while studying Docker during lab sessions.,Confused,
I don't know how to start learning Computer Networks while writing code.,Confused,
I am confident in Java while attending lectures because i like discovering new topics in java while attending lectures.,Confident,Curious
I find Data Science extremely difficult while solving previous papers.,Confused,
I am improving continuously in Computer Architecture before exams while i enjoy solving difficult problems in computer architecture before exams.,Confident,Curious
I can complete Artificial Intelligence tasks without help while completing homework.,Confident,
I am excited to study C++ while preparing notes however i feel exhausted attending c++ lectures while preparing notes.,Curious,Bored
I keep forgetting the concepts of SQL while practicing coding at the same time i feel disappointed with my performance in sql while practicing coding.,Confused,Frustrated
I enjoy helping others understand Kubernetes while writing code.,Confident,
I enjoy exploring new ideas in C while building projects.,Curious,
I feel mentally tired because of Calculus while practicing coding.,Frustrated,
I want to build innovative solutions using Linux while debugging but i find linux repetitive while debugging.,Curious,Bored
I don't like solving MySQL problems anymore while practicing coding and i cannot understand the logic behind mysql while practicing coding.,Bored,Confused
I solved all the problems in Machine Learning before exams.,Confident,
I love reading about Computer Architecture during online classes and i can complete computer architecture tasks without help during online classes.,Curious,Confident
I am improving continuously in Git while reading textbooks.,Confident,
I worked very hard but still don't understand HTML while solving previous papers and i solved all coding challenges in html while solving previous papers.,Frustrated,Confident
I am improving continuously in Cloud Computing while reading textbooks.,Confident,
I feel bored while studying Streamlit before exams.,Bored,
I want to become an expert in Biology while preparing notes while i scored excellent marks in biology while preparing notes.,Curious,Confident
I completed my project using Operating Systems successfully while debugging.,Confident,
I don't know where I am making mistakes in Docker while solving assignments although i enjoy learning docker while solving assignments.,Confused,Curious
I feel exhausted attending GitHub lectures before exams.,Bored,
I don't feel excited about Java while reading textbooks.,Bored,
I keep making the same mistakes in Operating Systems while practicing coding.,Frustrated,
I enjoy solving advanced C problems before exams.,Confident,
I built a complete application using IoT during lab sessions although i want to build projects using iot during lab sessions.,Confident,Curious
I can debug Computer Vision programs easily while attending lectures.,Confident,
I find Azure repetitive while attending lectures and i keep making the same mistakes in azure while attending lectures.,Bored,Frustrated
I cannot differentiate the concepts in GitHub while preparing notes.,Confused,
I don't know how to solve Android Development while debugging.,Confused,
I get bored reading Node.js books while studying late at night.,Bored,
I enjoy asking questions about Streamlit while preparing notes.,Curious,
I enjoy solving difficult problems in Chemistry while writing code.,Curious,
I feel sleepy while studying Blockchain while completing homework however i keep failing while practicing blockchain while completing homework.,Bored,Frustrated
I don't understand Mathematics while preparing for interviews although i enjoy asking questions about mathematics while preparing for interviews.,Confused,Curious
I love reading about Compiler Design while practicing coding.,Curious,
I always fail in Java during lab sessions but i scored excellent marks in java during lab sessions.,Frustrated,Confident
I want to explore research in Operating Systems during lab sessions even though i read the topic many times but still don't understand operating systems during lab sessions.,Curious,Confused
I want to understand every concept of Biology while solving assignments because i keep getting distracted during biology while solving assignments.,Curious,Bored
I don't understand the syntax of C++ while attending lectures.,Confused,
I enjoy solving difficult problems in Calculus while reading textbooks.,Curious,
I cannot concentrate while learning SQL while writing code.,Bored,
I don't know how to solve Computer Networks while completing homework.,Confused,
I don't feel excited about Azure while studying late at night and i feel disappointed with my performance in azure while studying late at night.,Bored,Frustrated
I solved all coding challenges in Compiler Design while completing homework.,Confident,
I can teach Android Development to my friends while studying late at night.,Confident,
I feel sleepy while studying Azure during lab sessions.,Bored,
I want to build innovative solutions using Azure during online classes however i can answer any question related to azure during online classes.,Curious,Confident
I feel mentally tired because of AWS while preparing for interviews.,Frustrated,
I scored excellent marks in Git while attending lectures even though i always fail in git while attending lectures.,Confident,Frustrated
I keep getting distracted during Digital Electronics while completing homework.,Bored,
I solved all the problems in C while solving previous papers but i am exhausted after practicing c while solving previous papers.,Confident,Frustrated
I feel comfortable learning Cyber Security while solving assignments.,Confident,
I feel bored while studying Machine Learning while solving previous papers.,Bored,
I cannot finish my project using Deep Learning while practicing coding.,Frustrated,
I get bored reading Discrete Mathematics books while attending lectures.,Bored,
I feel completely lost while studying Docker while practicing coding.,Confused,
I don't feel excited about IoT while writing code.,Bored,
I built a complete application using Operating Systems while preparing notes.,Confident,
I feel prepared for my Deep Learning exam while practicing coding.,Confident,
I lose my attention quickly in IoT during online classes.,Bored,
I enjoy solving difficult problems in Computer Networks during lab sessions.,Curious,
I spent hours studying Chemistry but still failed while preparing notes.,Frustrated,
I feel completely lost while studying Physics while completing homework.,Confused,
I enjoy experimenting with Software Engineering while attending lectures and i read the topic many times but still don't understand software engineering while attending lectures.,Curious,Confused
I feel mentally tired because of Machine Learning while studying late at night.,Frustrated,
I want to learn beyond my syllabus in Java while reading textbooks.,Curious,
I feel mentally tired because of Physics while preparing notes.,Frustrated,
I lose interest in Digital Electronics while writing code even though i feel mentally tired because of digital electronics while writing code.,Bored,Frustrated
I cannot understand the examples of MongoDB while completing homework.,Confused,
I am exhausted after practicing Android Development while studying late at night.,Frustrated,
I feel lazy whenever I open GitHub during lab sessions.,Bored,
I find Deep Learning extremely difficult while completing homework while i want to become an expert in deep learning while completing homework.,Confused,Curious
I don't know where I am making mistakes in Git while writing code while i want to participate in competitions related to git while writing code.,Confused,Curious
I like discovering new topics in Compiler Design during lab sessions yet i believe i have mastered compiler design during lab sessions.,Curious,Confident
I scored excellent marks in Machine Learning while preparing notes because i cannot solve even simple problems in machine learning while preparing notes.,Confident,Frustrated
I don't feel motivated to study Blockchain while completing homework.,Bored,
I hate working on Streamlit while studying late at night.,Frustrated,
I cannot complete my Azure assignment while completing homework.,Frustrated,
I find Docker extremely difficult while debugging although i enjoy solving difficult problems in docker while debugging.,Confused,Curious
I find Streamlit repetitive during online classes.,Bored,
I want to master AWS before exams.,Curious,
I solved all the problems in Linux while studying late at night at the same time i enjoy asking questions about linux while studying late at night.,Confident,Curious
I keep failing while practicing Blockchain while solving previous papers and i believe i have mastered blockchain while solving previous papers.,Frustrated,Confident
I am stressed because of Compiler Design while solving assignments.,Frustrated,
I don't feel excited about Streamlit while preparing for interviews.,Bored,
I feel lazy whenever I open C++ while solving assignments.,Bored,
I get bored reading IoT books during online classes.,Bored,
I completed my SQL assignment successfully while preparing notes and i always fail in sql while preparing notes.,Confident,Frustrated
I feel lazy whenever I open Biology while preparing notes.,Bored,
I cannot understand the examples of Flutter while preparing for interviews at the same time i want to build innovative solutions using flutter while preparing for interviews.,Confused,Curious
I enjoy solving difficult problems in MongoDB while preparing notes.,Curious,
I cannot solve even simple problems in C++ while solving previous papers.,Frustrated,
I don't feel motivated to study Physics while writing code.,Bored,
I scored excellent marks in Machine Learning while debugging even though i want to become an expert in machine learning while debugging.,Confident,Curious
I always get confused between similar topics in Docker while completing homework.,Confused,
I don't understand Calculus during lab sessions.,Confused,
I am tired of debugging Machine Learning during lab sessions.,Frustrated,
I want to learn beyond my syllabus in Digital Electronics while building projects.,Curious,
I feel lazy whenever I open Docker before exams.,Bored,
I cannot stay focused during IoT while debugging.,Bored,
I am frustrated with Linear Algebra while preparing for interviews.,Frustrated,
I don't know where I am making mistakes in Statistics while attending lectures.,Confused,
I built a complete application using Linux while practicing coding.,Confident,
I practice DBMS every day while solving assignments.,Confident,
I read the topic many times but still don't understand DBMS while studying late at night.,Confused,
I read the topic many times but still don't understand Data Structures while debugging however i enjoy exploring new ideas in data structures while debugging.,Confused,Curious
I am not interested in Ethical Hacking anymore while completing homework.,Bored,
I can teach Data Structures to my friends while completing homework.,Confident,
I don't enjoy practicing React while completing homework.,Bored,
I feel lazy whenever I open Data Structures while debugging.,Bored,
I enjoy solving advanced Linux problems while solving previous papers however i want to master linux while solving previous papers.,Confident,Curious
I am excited to study Cloud Computing while debugging while i can answer any question related to cloud computing while debugging.,Curious,Confident
I feel completely lost while studying AWS while building projects.,Confused,
I am improving continuously in Compiler Design while solving previous papers.,Confident,
I am stressed because of JavaScript while practicing coding.,Frustrated,
I want to master Compiler Design during lab sessions.,Curious,
I want to understand every concept of Computer Vision before exams because i lose my attention quickly in computer vision before exams.,Curious,Bored
I lose my attention quickly in SQL while reading textbooks.,Bored,
I want to improve my knowledge in Chemistry while attending lectures and i cannot understand the examples of chemistry while attending lectures.,Curious,Confused
I don't enjoy learning Git anymore while building projects.,Bored,
I want to build projects using Kubernetes while debugging.,Curious,
I want to learn beyond my syllabus in Machine Learning during lab sessions.,Curious,
I can answer any question related to C++ while writing code.,Confident,
I don't feel motivated to study Computer Vision while debugging.,Bored,
I solved all coding challenges in Git while completing homework.,Confident,
I want to learn real-world applications of Computer Architecture while debugging.,Curious,
I cannot stay engaged while learning Python while solving previous papers even though i always get confused between similar topics in python while solving previous papers.,Bored,Confused
I am exhausted after practicing Linear Algebra during lab sessions.,Frustrated,
I practice Streamlit every day while preparing notes because i feel overwhelmed while studying streamlit while preparing notes.,Confident,Frustrated
I want to know more about Software Engineering while debugging while i feel prepared for my software engineering exam while debugging.,Curious,Confident
I don't understand Git while studying late at night even though i want to become an expert in git while studying late at night.,Confused,Curious
I am stressed because of Chemistry while solving assignments.,Frustrated,
I want to build projects using Calculus while writing code.,Curious,
I keep getting confused whenever I study Software Engineering while reading textbooks.,Confused,
I want to become an expert in Data Structures while writing code while i don't like solving data structures problems anymore while writing code.,Curious,Bored
I cannot finish my project using Deep Learning during online classes.,Frustrated,
I am frustrated with MySQL while preparing for interviews although i enjoy helping others understand mysql while preparing for interviews.,Frustrated,Confident
I don't understand Biology while solving previous papers.,Confused,
I don't understand the syntax of Digital Electronics while solving assignments because i cannot finish my project using digital electronics while solving assignments.,Confused,Frustrated
I get confused every time I practice MongoDB while reading textbooks while i want to know more about mongodb while reading textbooks.,Confused,Curious
I keep making the same mistakes in C while preparing for interviews.,Frustrated,
I find GitHub repetitive while preparing for interviews.,Bored,
I am not interested in Computer Architecture anymore during online classes.,Bored,
I want to learn beyond my syllabus in Digital Electronics while practicing coding.,Curious,
I get confused every time I practice Biology while practicing coding.,Confused,
I want to participate in competitions related to Git during lab sessions.,Curious,
I keep failing while practicing Flutter during online classes.,Frustrated,
I can solve difficult Streamlit questions during lab sessions.,Confident,
I find Statistics extremely difficult before exams.,Confused,
I love reading about Linear Algebra while building projects but i find linear algebra extremely difficult while building projects.,Curious,Confused
I don't understand why my solution is wrong in Discrete Mathematics while preparing notes although i cannot solve even simple problems in discrete mathematics while preparing notes.,Confused,Frustrated
I keep getting distracted during C++ while solving previous papers.,Bored,
I don't enjoy practicing IoT while solving assignments and i cannot understand the examples of iot while solving assignments.,Bored,Confused
I feel exhausted attending Docker lectures while solving assignments but i keep getting errors while learning docker while solving assignments.,Bored,Frustrated
I don't know which approach to use in Docker before exams.,Confused,
I am unable to understand Physics before exams.,Confused,
I don't enjoy learning HTML anymore while attending lectures and i keep getting confused whenever i study html while attending lectures.,Bored,Confused
I am interested in advanced Docker concepts while building projects.,Curious,
I want to learn real-world applications of Cyber Security during lab sessions.,Curious,
I cannot concentrate while learning Cloud Computing while debugging yet i don't know how to start learning cloud computing while debugging.,Bored,Confused
I don't know how to solve Compiler Design during lab sessions.,Confused,
I want to master Artificial Intelligence while reading textbooks.,Curious,
I lose my attention quickly in Physics during lab sessions yet i don't know which approach to use in physics during lab sessions.,Bored,Confused
I don't like solving CSS problems anymore while building projects.,Bored,
I lose confidence every time I study Data Science before exams.,Frustrated,
I like discovering new topics in IoT while solving previous papers and i enjoy solving advanced iot problems while solving previous papers.,Curious,Confident
I feel completely lost while studying DBMS while preparing notes.,Confused,
I can teach Data Structures to my friends before exams.,Confident,
I don't know which approach to use in Compiler Design while solving assignments.,Confused,
I want to become an expert in Java while debugging while i don't enjoy learning java anymore while debugging.,Curious,Bored
I lose interest in CSS while attending lectures.,Bored,
I find Discrete Mathematics repetitive while solving previous papers.,Bored,
I feel comfortable learning HTML while practicing coding because i keep failing while practicing html while practicing coding.,Confident,Frustrated
I feel comfortable learning React while solving previous papers while i want to participate in competitions related to react while solving previous papers.,Confident,Curious
I am exhausted after practicing Deep Learning while attending lectures and i completed my deep learning assignment successfully while attending lectures.,Frustrated,Confident
I enjoy exploring new ideas in Java while debugging.,Curious,
I cannot understand the logic behind Deep Learning while debugging.,Confused,
I postpone studying NLP because it feels boring while solving assignments.,Bored,
I don't know how to solve Data Science while practicing coding even though i love reading about data science while practicing coding.,Confused,Curious
I don't feel excited about CSS while debugging.,Bored,
I keep forgetting the concepts of Azure while solving previous papers.,Confused,
I built a complete application using Docker while attending lectures however i want to participate in competitions related to docker while attending lectures.,Confident,Curious
I enjoy helping others understand Digital Electronics while completing homework.,Confident,
I feel completely lost while studying Data Science while preparing for interviews.,Confused,
I cannot concentrate while learning React while building projects.,Bored,
I cannot stay focused during SQL during online classes although i worked very hard but still don't understand sql during online classes.,Bored,Frustrated
I enjoy solving advanced C++ problems while studying late at night even though i want to learn beyond my syllabus in c++ while studying late at night.,Confident,Curious
I always fail in Data Structures during online classes however i can complete data structures tasks without help during online classes.,Frustrated,Confident
I don't feel excited about MongoDB while building projects.,Bored,
I enjoy experimenting with Statistics while solving previous papers yet i don't enjoy learning statistics anymore while solving previous papers.,Curious,Bored
I get bored reading Statistics books during online classes.,Bored,
I cannot concentrate while learning HTML while solving assignments.,Bored,
I want to participate in competitions related to Deep Learning while building projects and i completed my deep learning assignment successfully while building projects.,Curious,Confident
I always get confused between similar topics in C++ while building projects however i don't know why c++ is so difficult while building projects.,Confused,Frustrated
I keep failing while practicing Ethical Hacking while solving previous papers.,Frustrated,
I keep making the same mistakes in HTML while debugging.,Frustrated,
