text,Bored,Confident,Confused,Curious,Frustrated
I am interested in advanced NLP concepts while attending lectures but i cannot understand the examples of nlp while attending lectures.,0,0,1,1,0
I don't understand why my solution is wrong in Computer Vision during lab sessions.,0,0,1,0,0
I want to become an expert in Azure while reading textbooks.,0,0,0,1,0
I want to understand every concept of Computer Networks while practicing coding because i don't know how to start learning computer networks while practicing coding.,0,0,1,1,0
I solved all the problems in React during online classes while i always fail in react during online classes.,0,1,0,0,1
I am stressed because of GitHub while studying late at night.,0,0,0,0,1
I don't understand Operating Systems while reading textbooks.,0,0,1,0,0
I can answer any question related to Mathematics while debugging.,0,1,0,0,0
I keep failing while practicing Node.js while solving previous papers.,0,0,0,0,1
I keep forgetting the concepts of Deep Learning while completing homework while i want to improve my knowledge in deep learning while completing homework.,0,0,1,1,0
I solved all the problems in React during lab sessions yet i feel like giving up on react during lab sessions.,0,1,0,0,1
I cannot concentrate while learning Operating Systems while studying late at night.,1,0,0,0,0
I feel exhausted attending Biology lectures while completing homework.,1,0,0,0,0
I am interested in advanced Digital Electronics concepts while studying late at night.,0,0,0,1,0
I want to understand every concept of DBMS while solving previous papers and i can teach dbms to my friends while solving previous papers.,0,1,0,1,0
I like discovering new topics in Streamlit while attending lectures.,0,0,0,1,0
I don't like solving Computer Vision problems anymore while debugging.,1,0,0,0,0
I enjoy exploring new ideas in MongoDB during lab sessions.,0,0,0,1,0
I am confused about Android Development while attending lectures yet i want to become an expert in android development while attending lectures.,0,0,1,1,0
I am not interested in Streamlit anymore before exams although i am confused about streamlit before exams.,1,0,1,0,0
I can teach Cloud Computing to my friends while building projects.,0,1,0,0,0
I want to build innovative solutions using Mathematics while studying late at night.,0,0,0,1,0
I can complete Computer Vision tasks without help while preparing notes.,0,1,0,0,0
I feel bored while studying C++ while building projects even though i lose confidence every time i study c++ while building projects.,1,0,0,0,1
I cannot differentiate the concepts in Chemistry while debugging.,0,0,1,0,0
I feel comfortable learning Deep Learning during lab sessions.,0,1,0,0,0
I am tired of debugging Cyber Security while solving assignments.,0,0,0,0,1
I am confident in Python during online classes.,0,1,0,0,0
I keep asking questions because Linear Algebra confuses me before exams.,0,0,1,0,0
I don't know which approach to use in Data Science while preparing notes.,0,0,1,0,0
I don't feel excited about MySQL while attending lectures.,1,0,0,0,0
I can answer any question related to Algorithms during lab sessions.,0,1,0,0,0
I don't enjoy learning Blockchain anymore while completing homework.,1,0,0,0,0
I don't enjoy learning Ethical Hacking anymore while building projects even though i worked very hard but still don't understand ethical hacking while building projects.,1,0,0,0,1
I want to explore research in IoT while writing code.,0,0,0,1,0
I enjoy experimenting with Artificial Intelligence during online classes while i don't know how to solve artificial intelligence during online classes.,0,0,1,1,0
I lose confidence every time I study Physics while preparing for interviews.,0,0,0,0,1
I am confused about Linux while solving assignments.,0,0,1,0,0
I want to explore research in Kubernetes while preparing for interviews.,0,0,0,1,0
I enjoy asking questions about Blockchain while writing code.,0,0,0,1,0
I feel like giving up on Software Engineering while reading textbooks.,0,0,0,0,1
I lose interest in Blockchain during online classes.,1,0,0,0,0
I want to improve my knowledge in C while preparing for interviews.,0,0,0,1,0
I keep asking questions because Computer Architecture confuses me while solving assignments.,0,0,1,0,0
I keep failing while practicing Artificial Intelligence while attending lectures.,0,0,0,0,1
I keep forgetting the concepts of C++ before exams.,0,0,1,0,0
I always fail in Kubernetes while studying late at night.,0,0,0,0,1
I am stressed because of SQL while preparing for interviews.,0,0,0,0,1
I wish Physics was more interesting while solving assignments.,1,0,0,0,0
I feel like giving up on Software Engineering during online classes because i enjoy solving advanced software engineering problems during online classes.,0,1,0,0,1
I can debug NLP programs easily during online classes even though i enjoy solving difficult problems in nlp during online classes.,0,1,0,1,0
I don't know where I am making mistakes in Linux while debugging.,0,0,1,0,0
I feel sleepy while studying Streamlit while debugging.,1,0,0,0,0
I want to master Biology while debugging and i built a complete application using biology while debugging.,0,1,0,1,0
I can debug Ethical Hacking programs easily while solving assignments.,0,1,0,0,0
I feel mentally tired because of Cloud Computing while preparing for interviews.,0,0,0,0,1
I cannot differentiate the concepts in CSS while preparing for interviews.,0,0,1,0,0
I want to build projects using Machine Learning while debugging.,0,0,0,1,0
I always get confused between similar topics in Compiler Design while completing homework because i cannot solve even simple problems in compiler design while completing homework.,0,0,1,0,1
I want to improve my knowledge in Chemistry while practicing coding.,0,0,0,1,0
I cannot solve even simple problems in Machine Learning during lab sessions.,0,0,0,0,1
I read the topic many times but still don't understand MySQL while solving previous papers yet i feel like giving up on mysql while solving previous papers.,0,0,1,0,1
I keep getting distracted during Compiler Design while building projects.,1,0,0,0,0
I am excited to study React while solving previous papers.,0,0,0,1,0
I am stressed because of C while attending lectures.,0,0,0,0,1
I cannot solve even simple problems in Kubernetes while preparing notes.,0,0,0,0,1
I don't like solving Calculus problems anymore during online classes.,1,0,0,0,0
I want to explore research in Flutter while debugging.,0,0,0,1,0
I cannot understand the examples of Physics while solving previous papers.,0,0,1,0,0
I feel bored while studying HTML while reading textbooks and i am confused about html while reading textbooks.,1,0,1,0,0
I get bored reading Artificial Intelligence books while preparing for interviews.,1,0,0,0,0
I practice MySQL every day while attending lectures.,0,1,0,0,0
I feel completely lost while studying C while reading textbooks.,0,0,1,0,0
I worked very hard but still don't understand Python while attending lectures.,0,0,0,0,1
I keep making the same mistakes in Cyber Security while completing homework.,0,0,0,0,1
I completed my MongoDB assignment successfully during lab sessions.,0,1,0,0,0
I postpone studying Chemistry because it feels boring while preparing for interviews.,1,0,0,0,0
I can complete Azure tasks without help while preparing notes yet i cannot complete my azure assignment while preparing notes.,0,1,0,0,1
I am unable to understand Computer Networks while completing homework.,0,0,1,0,0
I keep getting errors while learning Cloud Computing during online classes.,0,0,0,0,1
I completed my Computer Networks assignment successfully while studying late at night.,0,1,0,0,0
I want to become an expert in Blockchain while debugging.,0,0,0,1,0
I keep failing while practicing Blockchain while reading textbooks.,0,0,0,0,1
I scored excellent marks in Java while building projects.,0,1,0,0,0
I am interested in advanced Mathematics concepts while reading textbooks.,0,0,0,1,0
I don't understand Calculus while preparing for interviews.,0,0,1,0,0
I cannot solve even simple problems in Compiler Design while practicing coding.,0,0,0,0,1
I solved all coding challenges in Digital Electronics while debugging.,0,1,0,0,0
I don't know how to start learning HTML while debugging because i want to learn real-world applications of html while debugging.,0,0,1,1,0
I cannot understand the examples of Flutter while debugging.,0,0,1,0,0
I keep getting errors while learning Cloud Computing during lab sessions.,0,0,0,0,1
I enjoy helping others understand Data Structures while solving previous papers although i want to improve my knowledge in data structures while solving previous papers.,0,1,0,1,0
I am tired of debugging Statistics while reading textbooks.,0,0,0,0,1
I am not interested in NLP anymore before exams.,1,0,0,0,0
I understand Artificial Intelligence very well while writing code.,0,1,0,0,0
I don't feel motivated to study Java while writing code.,1,0,0,0,0
I believe I have mastered DBMS while completing homework.,0,1,0,0,0
I cannot finish my project using CSS during lab sessions.,0,0,0,0,1
I lose interest in Physics while studying late at night because i am exhausted after practicing physics while studying late at night.,1,0,0,0,1
I want to explore research in Mathematics while reading textbooks.,0,0,0,1,0
I cannot differentiate the concepts in Deep Learning while attending lectures.,0,0,1,0,0
I feel exhausted attending Streamlit lectures before exams but i always fail in streamlit before exams.,1,0,0,0,1
I don't understand why my solution is wrong in Algorithms while debugging.,0,0,1,0,0
I am confident in Cloud Computing while building projects.,0,1,0,0,0
I don't know which approach to use in Blockchain while attending lectures however i am exhausted after practicing blockchain while attending lectures.,0,0,1,0,1
I like discovering new topics in Data Science while reading textbooks.,0,0,0,1,0
I want to understand every concept of Chemistry while reading textbooks.,0,0,0,1,0
I don't know why JavaScript is so difficult before exams.,0,0,0,0,1
I want to become an expert in Mathematics during lab sessions and i can answer any question related to mathematics during lab sessions.,0,1,0,1,0
I completed my Digital Electronics assignment successfully while preparing notes.,0,1,0,0,0
I don't know which approach to use in Android Development while solving previous papers.,0,0,1,0,0
I want to master Machine Learning while reading textbooks and i completed my machine learning assignment successfully while reading textbooks.,0,1,0,1,0
I keep asking questions because Azure confuses me while solving previous papers because i want to learn beyond my syllabus in azure while solving previous papers.,0,0,1,1,0
I want to master Mathematics while completing homework although i don't understand mathematics while completing homework.,0,0,1,1,0
I want to know more about Streamlit while preparing notes.,0,0,0,1,0
I don't know how to solve Linear Algebra while solving previous papers.,0,0,1,0,0
I don't enjoy learning Java anymore while studying late at night.,1,0,0,0,0
I lose interest in Deep Learning during online classes.,1,0,0,0,0
I want to improve my knowledge in Data Structures while solving assignments.,0,0,0,1,0
I feel bored while studying Cyber Security while solving assignments.,1,0,0,0,0
I don't understand Node.js while preparing for interviews.,0,0,1,0,0
I scored excellent marks in MongoDB while debugging.,0,1,0,0,0
I understand Cyber Security very well while debugging.,0,1,0,0,0
I spent hours studying C but still failed while solving previous papers.,0,0,0,0,1
I enjoy asking questions about C while solving assignments while i completed my project using c successfully while solving assignments.,0,1,0,1,0
I cannot stay engaged while learning Flutter before exams.,1,0,0,0,0
I am confident in MySQL while solving assignments.,0,1,0,0,0
I cannot differentiate the concepts in Biology while preparing for interviews.,0,0,1,0,0
I always fail in Compiler Design before exams although i completed my project using compiler design successfully before exams.,0,1,0,0,1
I don't know which approach to use in Docker while solving assignments.,0,0,1,0,0
I completed my Ethical Hacking assignment successfully while writing code even though i cannot finish my project using ethical hacking while writing code.,0,1,0,0,1
I hate working on Linear Algebra while studying late at night.,0,0,0,0,1
I want to become an expert in Cloud Computing while attending lectures.,0,0,0,1,0
I cannot complete my Streamlit assignment during lab sessions.,0,0,0,0,1
I don't feel excited about Azure while solving previous papers.,1,0,0,0,0
I believe I have mastered Data Structures while solving previous papers and i always fail in data structures while solving previous papers.,0,1,0,0,1
I am interested in advanced Streamlit concepts while building projects but i feel bored while studying streamlit while building projects.,1,0,0,1,0
I wish Python was more interesting while studying late at night.,1,0,0,0,0
I always get confused between similar topics in React while building projects.,0,0,1,0,0
I cannot concentrate while learning Java while preparing for interviews however i always fail in java while preparing for interviews.,1,0,0,0,1
I enjoy solving advanced GitHub problems while preparing for interviews.,0,1,0,0,0
I feel comfortable learning Cyber Security while attending lectures although i am tired of debugging cyber security while attending lectures.,0,1,0,0,1
I want to become an expert in MongoDB while debugging.,0,0,0,1,0
I want to build innovative solutions using Machine Learning while completing homework although i don't understand machine learning while completing homework.,0,0,1,1,0
I can solve difficult Discrete Mathematics questions while reading textbooks.,0,1,0,0,0
I want to build innovative solutions using Linux during lab sessions while i lose interest in linux during lab sessions.,1,0,0,1,0
I don't know how to start learning Data Science while preparing for interviews.,0,0,1,0,0
I can debug Physics programs easily while completing homework.,0,1,0,0,0
I keep getting distracted during Computer Networks while completing homework.,1,0,0,0,0
I feel disappointed with my performance in Data Science while solving assignments.,0,0,0,0,1
I cannot differentiate the concepts in Docker while practicing coding yet i worked very hard but still don't understand docker while practicing coding.,0,0,1,0,1
I feel sleepy while studying Calculus before exams.,1,0,0,0,0
I don't understand why my solution is wrong in Node.js while practicing coding.,0,0,1,0,0
I lose confidence every time I study Data Science while solving previous papers.,0,0,0,0,1
I want to master DBMS while solving previous papers.,0,0,0,1,0
I lose interest in Python while building projects.,1,0,0,0,0
I feel exhausted attending GitHub lectures while completing homework.,1,0,0,0,0
I cannot complete my Cyber Security assignment while completing homework.,0,0,0,0,1
I am not interested in C anymore while writing code at the same time i am stressed because of c while writing code.,1,0,0,0,1
I wish Machine Learning was more interesting while building projects.,1,0,0,0,0
I feel prepared for my C++ exam before exams but i want to know more about c++ before exams.,0,1,0,1,0
I don't know where I am making mistakes in Algorithms while studying late at night.,0,0,1,0,0
I feel overwhelmed while studying Data Structures while reading textbooks.,0,0,0,0,1
I keep getting distracted during Git during lab sessions.,1,0,0,0,0
I don't understand Computer Architecture during online classes.,0,0,1,0,0
I cannot stay engaged while learning Java during lab sessions.,1,0,0,0,0
I can complete NLP tasks without help while attending lectures.,0,1,0,0,0
I enjoy learning Mathematics while practicing coding.,0,0,0,1,0
I want to build innovative solutions using GitHub during online classes.,0,0,0,1,0
I wish Blockchain was more interesting while attending lectures.,1,0,0,0,0
I enjoy experimenting with DBMS while practicing coding although i don't understand the syntax of dbms while practicing coding.,0,0,1,1,0
I feel sleepy while studying Cloud Computing while debugging.,1,0,0,0,0
I keep getting distracted during DBMS while building projects.,1,0,0,0,0
I don't understand why my solution is wrong in Linear Algebra while completing homework.,0,0,1,0,0
I want to participate in competitions related to GitHub while preparing notes and i keep getting distracted during github while preparing notes.,1,0,0,1,0
I keep asking questions because AWS confuses me while preparing for interviews.,0,0,1,0,0
I keep getting errors while learning C++ while building projects.,0,0,0,0,1
I practice Biology every day while solving assignments however i keep getting errors while learning biology while solving assignments.,0,1,0,0,1
I cannot concentrate while learning Computer Networks while debugging.,1,0,0,0,0
I enjoy solving advanced Mathematics problems during online classes although i feel mentally tired because of mathematics during online classes.,0,1,0,0,1
I cannot complete my Blockchain assignment during lab sessions.,0,0,0,0,1
I want to know more about Computer Vision while completing homework.,0,0,0,1,0
I find Blockchain repetitive while preparing notes.,1,0,0,0,0
I keep getting errors while learning Computer Networks while attending lectures.,0,0,0,0,1
I get confused every time I practice MySQL while preparing notes but i keep failing while practicing mysql while preparing notes.,0,0,1,0,1
I get bored reading Calculus books while completing homework even though i don't know why calculus is so difficult while completing homework.,1,0,0,0,1
I want to build innovative solutions using Computer Networks before exams.,0,0,0,1,0
I don't understand why my solution is wrong in Streamlit while debugging.,0,0,1,0,0
I am unable to understand Computer Networks while reading textbooks.,0,0,1,0,0
I cannot understand the examples of MongoDB while attending lectures yet i want to know more about mongodb while attending lectures.,0,0,1,1,0
I am improving continuously in Ethical Hacking while preparing for interviews because i want to build projects using ethical hacking while preparing for interviews.,0,1,0,1,0
I keep getting confused whenever I study DBMS while reading textbooks.,0,0,1,0,0
I solved all the problems in Chemistry while attending lectures.,0,1,0,0,0
I feel comfortable learning Git while solving assignments.,0,1,0,0,0
I want to build projects using Flutter during lab sessions.,0,0,0,1,0
I don't understand Azure while writing code.,0,0,1,0,0
I cannot understand the logic behind Node.js during online classes.,0,0,1,0,0
I feel completely lost while studying Discrete Mathematics while studying late at night.,0,0,1,0,0
I worked very hard but still don't understand Data Science while preparing for interviews.,0,0,0,0,1
I want to build innovative solutions using Linux while preparing notes.,0,0,0,1,0
I don't feel motivated to study Azure during online classes.,1,0,0,0,0
I don't feel excited about MySQL while preparing notes.,1,0,0,0,0
I am interested in advanced Computer Networks concepts while solving assignments.,0,0,0,1,0
I want to understand every concept of HTML during online classes.,0,0,0,1,0
I cannot concentrate while learning Cloud Computing while attending lectures.,1,0,0,0,0
I keep getting errors while learning Git while attending lectures.,0,0,0,0,1
I feel lazy whenever I open Node.js while writing code.,1,0,0,0,0
I enjoy helping others understand Android Development while solving assignments yet i enjoy experimenting with android development while solving assignments.,0,1,0,1,0
I enjoy solving advanced Linear Algebra problems during lab sessions and i always fail in linear algebra during lab sessions.,0,1,0,0,1
I worked very hard but still don't understand Computer Networks while reading textbooks.,0,0,0,0,1
I hate working on Android Development while debugging and i built a complete application using android development while debugging.,0,1,0,0,1
I can complete Ethical Hacking tasks without help while debugging yet i enjoy solving difficult problems in ethical hacking while debugging.,0,1,0,1,0
I am not interested in React anymore while preparing notes.,1,0,0,0,0
I enjoy asking questions about Mathematics during online classes.,0,0,0,1,0
I keep getting distracted during Artificial Intelligence while debugging because i keep asking questions because artificial intelligence confuses me while debugging.,1,0,1,0,0
I want to explore research in JavaScript while preparing for interviews even though i cannot concentrate while learning javascript while preparing for interviews.,1,0,0,1,0
I read the topic many times but still don't understand Deep Learning while writing code.,0,0,1,0,0
I cannot stay engaged while learning Ethical Hacking while practicing coding.,1,0,0,0,0
I believe I have mastered Blockchain while building projects yet i am excited to study blockchain while building projects.,0,1,0,1,0
I always get confused between similar topics in SQL while solving previous papers.,0,0,1,0,0
I postpone studying Streamlit because it feels boring while completing homework.,1,0,0,0,0
I am improving continuously in Computer Architecture while preparing for interviews.,0,1,0,0,0
I get bored reading Machine Learning books while writing code.,1,0,0,0,0
I wish Compiler Design was more interesting while completing homework.,1,0,0,0,0
I read the topic many times but still don't understand Linux while studying late at night.,0,0,1,0,0
I cannot solve even simple problems in AWS during lab sessions.,0,0,0,0,1
I don't feel motivated to study IoT while building projects although i read the topic many times but still don't understand iot while building projects.,1,0,1,0,0
I enjoy helping others understand Cloud Computing while attending lectures.,0,1,0,0,0
I feel bored while studying Linear Algebra while preparing for interviews at the same time i feel mentally tired because of linear algebra while preparing for interviews.,1,0,0,0,1
I don't enjoy learning C anymore while writing code but i don't understand why my solution is wrong in c while writing code.,1,0,1,0,0
I understand HTML very well while preparing notes.,0,1,0,0,0
I cannot differentiate the concepts in JavaScript before exams.,0,0,1,0,0
I cannot solve even simple problems in MySQL while writing code.,0,0,0,0,1
I am tired of debugging Algorithms while reading textbooks.,0,0,0,0,1
I am stressed because of Deep Learning while attending lectures.,0,0,0,0,1
I built a complete application using Java while practicing coding.,0,1,0,0,0
I keep getting errors while learning Software Engineering during lab sessions.,0,0,0,0,1
I feel mentally tired because of MongoDB while solving previous papers but i solved all the problems in mongodb while solving previous papers.,0,1,0,0,1
I feel mentally tired because of DBMS while preparing for interviews.,0,0,0,0,1
I completed my project using JavaScript successfully while reading textbooks.,0,1,0,0,0
I cannot concentrate while learning Docker while completing homework at the same time i cannot finish my project using docker while completing homework.,1,0,0,0,1
I can teach Biology to my friends while preparing notes.,0,1,0,0,0
I don't understand the syntax of Statistics while writing code.,0,0,1,0,0
I want to understand every concept of Java while studying late at night.,0,0,0,1,0
I don't know which approach to use in Discrete Mathematics during lab sessions.,0,0,1,0,0
I understand Chemistry very well while practicing coding and i want to know more about chemistry while practicing coding.,0,1,0,1,0
I like discovering new topics in Git while solving assignments.,0,0,0,1,0
I enjoy exploring new ideas in Mathematics while solving previous papers because i don't feel motivated to study mathematics while solving previous papers.,1,0,0,1,0
I am not interested in Linux anymore while solving previous papers.,1,0,0,0,0
I feel completely lost while studying Mathematics while preparing for interviews but i want to build innovative solutions using mathematics while preparing for interviews.,0,0,1,1,0
I enjoy exploring new ideas in Algorithms while debugging.,0,0,0,1,0
I get bored reading SQL books while solving assignments.,1,0,0,0,0
I always fail in DBMS while solving previous papers however i am confident in dbms while solving previous papers.,0,1,0,0,1
I want to build projects using C++ while writing code.,0,0,0,1,0
I enjoy solving difficult problems in MongoDB while solving assignments and i don't understand mongodb while solving assignments.,0,0,1,1,0
I get bored reading Digital Electronics books while practicing coding at the same time i don't understand why my solution is wrong in digital electronics while practicing coding.,1,0,1,0,0
I keep getting errors while learning Chemistry before exams.,0,0,0,0,1
I am unable to understand Biology during lab sessions even though i want to learn beyond my syllabus in biology during lab sessions.,0,0,1,1,0
I want to master Java while solving assignments.,0,0,0,1,0
I lose confidence every time I study AWS during lab sessions at the same time i solved all the problems in aws during lab sessions.,0,1,0,0,1
I get confused every time I practice Python while writing code.,0,0,1,0,0
I lose confidence every time I study Data Structures while writing code.,0,0,0,0,1
I am improving continuously in JavaScript while reading textbooks.,0,1,0,0,0
I get bored reading Android Development books before exams at the same time i keep asking questions because android development confuses me before exams.,1,0,1,0,0
I find Physics extremely difficult while completing homework although i want to become an expert in physics while completing homework.,0,0,1,1,0
I find Compiler Design repetitive while debugging.,1,0,0,0,0
I am unable to understand Algorithms while attending lectures.,0,0,1,0,0
I completed my Computer Vision assignment successfully while attending lectures because i feel overwhelmed while studying computer vision while attending lectures.,0,1,0,0,1
I cannot finish my project using MySQL while writing code.,0,0,0,0,1
I am excited to study Git while solving previous papers.,0,0,0,1,0
I want to participate in competitions related to JavaScript before exams.,0,0,0,1,0
I enjoy experimenting with CSS while practicing coding although i don't know which approach to use in css while practicing coding.,0,0,1,1,0
I want to improve my knowledge in Mathematics while preparing notes.,0,0,0,1,0
I don't feel excited about Ethical Hacking while solving previous papers.,1,0,0,0,0
I keep asking questions because Data Science confuses me while building projects.,0,0,1,0,0
I solved all the problems in Discrete Mathematics while preparing for interviews.,0,1,0,0,0
I solved all coding challenges in MySQL while reading textbooks but i always fail in mysql while reading textbooks.,0,1,0,0,1
I completed my project using Statistics successfully while studying late at night.,0,1,0,0,0
I enjoy helping others understand Data Structures before exams even though i hate working on data structures before exams.,0,1,0,0,1
I am excited to study Artificial Intelligence while attending lectures.,0,0,0,1,0
I am confused about Physics while building projects.,0,0,1,0,0
I keep getting confused whenever I study Digital Electronics during lab sessions.,0,0,1,0,0
I worked very hard but still don't understand Calculus while practicing coding.,0,0,0,0,1
I keep getting distracted during MongoDB while preparing notes however i don't know why mongodb is so difficult while preparing notes.,1,0,0,0,1
I lose confidence every time I study React during online classes.,0,0,0,0,1
I want to become an expert in Algorithms while studying late at night while i keep getting distracted during algorithms while studying late at night.,1,0,0,1,0
I want to learn beyond my syllabus in DBMS while completing homework.,0,0,0,1,0
I get confused every time I practice Operating Systems while building projects yet i keep making the same mistakes in operating systems while building projects.,0,0,1,0,1
I am not interested in Linear Algebra anymore while preparing for interviews.,1,0,0,0,0
I keep failing while practicing DBMS before exams although i understand dbms very well before exams.,0,1,0,0,1
I keep asking questions because C confuses me during lab sessions at the same time i feel like giving up on c during lab sessions.,0,0,1,0,1
I find React extremely difficult during lab sessions.,0,0,1,0,0
I understand Cloud Computing very well while completing homework.,0,1,0,0,0
I hate working on CSS while preparing for interviews.,0,0,0,0,1
I don't understand why my solution is wrong in Python during lab sessions.,0,0,1,0,0
I don't like solving Software Engineering problems anymore while practicing coding.,1,0,0,0,0
I feel lazy whenever I open React while attending lectures at the same time i don't understand why my solution is wrong in react while attending lectures.,1,0,1,0,0
I don't know which approach to use in DBMS while practicing coding while i enjoy asking questions about dbms while practicing coding.,0,0,1,1,0
I want to know more about Git while preparing notes.,0,0,0,1,0
I want to learn real-world applications of Physics while preparing for interviews.,0,0,0,1,0
I enjoy solving advanced Software Engineering problems while building projects and i enjoy exploring new ideas in software engineering while building projects.,0,1,0,1,0
I want to build projects using Computer Vision while writing code however i cannot understand the logic behind computer vision while writing code.,0,0,1,1,0
I postpone studying Data Structures because it feels boring while writing code but i read the topic many times but still don't understand data structures while writing code.,1,0,1,0,0
I cannot stay engaged while learning Cloud Computing while writing code.,1,0,0,0,0
I want to build innovative solutions using AWS while solving previous papers.,0,0,0,1,0
I keep getting errors while learning Statistics while practicing coding.,0,0,0,0,1
I cannot understand the examples of C while attending lectures.,0,0,1,0,0
I feel prepared for my SQL exam while practicing coding.,0,1,0,0,0
I keep failing while practicing Operating Systems while writing code.,0,0,0,0,1
I cannot concentrate while learning Mathematics while writing code.,1,0,0,0,0
I don't know which approach to use in Cyber Security while building projects.,0,0,1,0,0
I want to improve my knowledge in Docker while attending lectures.,0,0,0,1,0
I want to know more about Biology while solving previous papers.,0,0,0,1,0
I am exhausted after practicing NLP while preparing notes.,0,0,0,0,1
I find Docker extremely difficult while reading textbooks.,0,0,1,0,0
I am confused about Linear Algebra while reading textbooks.,0,0,1,0,0
I solved all coding challenges in Machine Learning while solving assignments.,0,1,0,0,0
I spent hours studying Computer Networks but still failed while attending lectures.,0,0,0,0,1
I always get confused between similar topics in DBMS while studying late at night.,0,0,1,0,0
I enjoy exploring new ideas in Mathematics while writing code because i believe i have mastered mathematics while writing code.,0,1,0,1,0
I lose confidence every time I study Blockchain while solving previous papers.,0,0,0,0,1
I cannot stay engaged while learning Linear Algebra while writing code yet i am confused about linear algebra while writing code.,1,0,1,0,0
I don't understand Discrete Mathematics while solving assignments.,0,0,1,0,0
I enjoy learning Computer Vision while practicing coding.,0,0,0,1,0
I believe I have mastered Deep Learning while preparing notes.,0,1,0,0,0
I cannot complete my Calculus assignment while practicing coding.,0,0,0,0,1
I feel bored while studying Operating Systems while completing homework.,1,0,0,0,0
I find Python extremely difficult while attending lectures.,0,0,1,0,0
I enjoy asking questions about Computer Architecture while solving assignments.,0,0,0,1,0
I am confident in Discrete Mathematics while writing code.,0,1,0,0,0
I cannot concentrate while learning Android Development while practicing coding.,1,0,0,0,0
I want to improve my knowledge in Algorithms while attending lectures.,0,0,0,1,0
I cannot stay engaged while learning Linear Algebra while completing homework.,1,0,0,0,0
I solved all coding challenges in C++ during online classes but i enjoy exploring new ideas in c++ during online classes.,0,1,0,1,0
I always fail in Linear Algebra while preparing for interviews.,0,0,0,0,1
I can answer any question related to JavaScript during online classes.,0,1,0,0,0
I don't know how to start learning MySQL while building projects.,0,0,1,0,0
I am tired of debugging Node.js before exams.,0,0,0,0,1
I cannot understand the examples of Deep Learning before exams but i am excited to study deep learning before exams.,0,0,1,1,0
I completed my project using Software Engineering successfully while completing homework and i cannot complete my software engineering assignment while completing homework.,0,1,0,0,1
I understand MongoDB very well while practicing coding.,0,1,0,0,0
I wish Software Engineering was more interesting while practicing coding.,1,0,0,0,0
I find Linear Algebra extremely difficult while preparing notes.,0,0,1,0,0
I am not interested in CSS anymore while completing homework but i keep failing while practicing css while completing homework.,1,0,0,0,1
I want to learn beyond my syllabus in Compiler Design while completing homework.,0,0,0,1,0
I want to participate in competitions related to Digital Electronics while attending lectures.,0,0,0,1,0
I feel comfortable learning GitHub while practicing coding.,0,1,0,0,0
I lose interest in Operating Systems while attending lectures.,1,0,0,0,0
I can solve difficult Artificial Intelligence questions during lab sessions.,0,1,0,0,0
I enjoy solving advanced Computer Architecture problems while solving previous papers.,0,1,0,0,0
I love reading about Linear Algebra while practicing coding but i lose my attention quickly in linear algebra while practicing coding.,1,0,0,1,0
I feel bored while studying JavaScript while solving previous papers while i keep making the same mistakes in javascript while solving previous papers.,1,0,0,0,1
I enjoy solving difficult problems in C while completing homework at the same time i cannot understand the logic behind c while completing homework.,0,0,1,1,0
I want to learn beyond my syllabus in Node.js while preparing notes.,0,0,0,1,0
I keep forgetting the concepts of Docker during online classes.,0,0,1,0,0
I don't feel excited about Chemistry while writing code.,1,0,0,0,0
I want to explore research in Node.js while preparing for interviews.,0,0,0,1,0
I don't know which approach to use in Git while preparing for interviews however i want to learn beyond my syllabus in git while preparing for interviews.,0,0,1,1,0
I don't know where I am making mistakes in Biology while preparing for interviews.,0,0,1,0,0
I understand Azure very well while practicing coding even though i want to master azure while practicing coding.,0,1,0,1,0
I don't understand the syntax of React while debugging.,0,0,1,0,0
I am confused about CSS while practicing coding although i love reading about css while practicing coding.,0,0,1,1,0
I cannot concentrate while learning Cyber Security while building projects.,1,0,0,0,0
I feel completely lost while studying Machine Learning while studying late at night.,0,0,1,0,0
I feel exhausted attending Digital Electronics lectures while preparing notes.,1,0,0,0,0
I cannot differentiate the concepts in Algorithms while solving assignments.,0,0,1,0,0
I postpone studying Data Science because it feels boring while practicing coding.,1,0,0,0,0
I don't enjoy learning Android Development anymore while attending lectures.,1,0,0,0,0
I read the topic many times but still don't understand Cloud Computing while building projects even though i want to learn real-world applications of cloud computing while building projects.,0,0,1,1,0
I don't like solving MySQL problems anymore while building projects.,1,0,0,0,0
I read the topic many times but still don't understand GitHub while completing homework.,0,0,1,0,0
I completed my Computer Networks assignment successfully while attending lectures because i want to learn beyond my syllabus in computer networks while attending lectures.,0,1,0,1,0
I don't enjoy learning Computer Networks anymore while solving assignments at the same time i get confused every time i practice computer networks while solving assignments.,1,0,1,0,0
I enjoy exploring new ideas in GitHub during online classes.,0,0,0,1,0
I always get confused between similar topics in DBMS while reading textbooks.,0,0,1,0,0
I feel sleepy while studying Linux while preparing for interviews.,1,0,0,0,0
I feel comfortable learning C before exams although i worked very hard but still don't understand c before exams.,0,1,0,0,1
I don't enjoy learning Python anymore while solving assignments because i am confused about python while solving assignments.,1,0,1,0,0
I am not interested in Java anymore during lab sessions although i keep forgetting the concepts of java during lab sessions.,1,0,1,0,0
I feel overwhelmed while studying Ethical Hacking while attending lectures.,0,0,0,0,1
I completed my project using Software Engineering successfully while preparing notes.,0,1,0,0,0
